usuario,genero,minutos_reproducidos
u00001,Accion,470
u00002,Romance,360
u00003,Accion,355
u00004,Animacion,119
u00005,Documental,202
u00006,Drama,466
u00007,Drama,96
u00008,CienciaFiccion,167
u00009,Romance,387
u00010,Animacion,156
u00011,Accion,211
u00012,Accion,467
u00013,Terror,496
u00014,Romance,349
u00015,Romance,288
u00016,Romance,307
u00017,Terror,5
u00018,Romance,462
u00019,Comedia,201
u00020,Romance,354
u00021,Terror,459
u00022,Accion,75
u00023,Accion,82
u00024,Animacion,96
u00025,Comedia,427
u00026,Animacion,202
u00027,Comedia,315
u00028,Romance,486
u00029,Romance,494
u00030,Documental,10
u00031,Animacion,405
u00032,Animacion,363
u00033,Drama,334
u00034,Animacion,318
u00035,Accion,142
u00036,Comedia,384
u00037,Romance,143
u00038,Animacion,124
u00039,Accion,113
u00040,Romance,500
u00041,Accion,234
u00042,Animacion,105
u00043,Drama,100
u00044,Romance,142
u00045,Terror,298
u00046,Animacion,299
u00047,Animacion,35
u00048,Documental,317
u00049,Accion,402
u00050,CienciaFiccion,376
u00051,Animacion,40
u00052,Documental,156
u00053,CienciaFiccion,111
u00054,Terror,173
u00055,Documental,163
u00056,Romance,426
u00057,Romance,82
u00058,Terror,26
u00059,Animacion,418
u00060,Documental,380
u00061,Documental,2
u00062,Documental,258
u00063,Comedia,356
u00064,CienciaFiccion,331
u00065,Comedia,151
u00066,Documental,381
u00067,Comedia,366
u00068,Documental,396
u00069,Drama,16
u00070,CienciaFiccion,163
u00071,Terror,226
u00072,Terror,135
u00073,Drama,377
u00074,Drama,128
u00075,Documental,434
u00076,Documental,160
u00077,Romance,443
u00078,CienciaFiccion,390
u00079,Animacion,4
u00080,Accion,190
u00081,CienciaFiccion,256
u00082,CienciaFiccion,215
u00083,Animacion,484
u00084,Drama,274
u00085,Documental,161
u00086,Drama,235
u00087,Terror,125
u00088,Documental,278
u00089,Comedia,226
u00090,Terror,467
u00091,Animacion,306
u00092,Comedia,197
u00093,CienciaFiccion,50
u00094,Documental,484
u00095,Documental,92
u00096,Comedia,29
u00097,CienciaFiccion,50
u00098,Documental,486
u00099,Animacion,400
u00100,Drama,467
u00101,Terror,67
u00102,Accion,9
u00103,Drama,207
u00104,Terror,409
u00105,Documental,295
u00106,Drama,99
u00107,Drama,250
u00108,Accion,312
u00109,Documental,133
u00110,Animacion,496
u00111,CienciaFiccion,380
u00112,Romance,328
u00113,CienciaFiccion,143
u00114,Documental,109
u00115,Documental,258
u00116,Comedia,491
u00117,Drama,465
u00118,Romance,242
u00119,Terror,476
u00120,Drama,219
u00121,Accion,369
u00122,Accion,152
u00123,Comedia,433
u00124,Accion,166
u00125,CienciaFiccion,444
u00126,Animacion,399
u00127,Comedia,336
u00128,Drama,352
u00129,Terror,318
